NUM,MNEMONICO,S,X,H,I,N,Z,V,C
1,aba,-- ,-- ,X,-- ,X,X,X,X
2,abx,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
3,aby,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
4,adca,-- ,-- ,X,-- ,X,X,X,X
5,adcb,-- ,-- ,X,-- ,X,X,X,X
6,adda,-- ,-- ,X,-- ,X,X,X,X
7,addb,-- ,-- ,X,-- ,X,X,X,X
8,addd,-- ,-- ,-- ,-- ,X,X,X,X
9,anda,-- ,-- ,-- ,-- ,X,X,0,-- 
10,andb,-- ,-- ,-- ,-- ,X,X,0,-- 
11,asl,-- ,-- ,-- ,-- ,X,X,X,X
12,asla,-- ,-- ,-- ,-- ,X,X,X,X
13,aslb,-- ,-- ,-- ,-- ,X,X,X,X
14,asld,-- ,-- ,-- ,-- ,X,X,X,X
15,asr,-- ,-- ,-- ,-- ,X,X,X,X
16,asra,-- ,-- ,-- ,-- ,X,X,X,X
17,asrb,-- ,-- ,-- ,-- ,X,X,X,X
18,bcc,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
19,bclr,-- ,-- ,-- ,-- ,X,X,0,-- 
20,bcs,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
21,beq,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
22,bge,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
23,bgt,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
24,bhi,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
25,bhs,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
26,bita,-- ,-- ,-- ,-- ,X,X,0,-- 
27,bitb,-- ,-- ,-- ,-- ,X,X,0,-- 
28,ble,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
29,blo,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
30,bls,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
31,blt,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
32,bmi,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
33,bne,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
34,bpl,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
35,bra,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
36,brclr,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
37,brn,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
38,brset,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
39,bset,-- ,-- ,-- ,-- ,X,X,0,-- 
40,bsr,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
41,bvc,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
42,bvs,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
